system:index,date,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,.geo
0,2020-01-01,20.97673838680899,79.01554421429675,0.007130460133593933,11.695440376533528,-2.6223543471657087,-0.5541709048295889,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2020-01-02,23.359747561919132,89.48887740670907,0.008413226631772356,12.581600242570328,-2.5713618440336523,-0.4836501491030255,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2020-01-03,22.043533125162913,92.59322221938314,0.009031243695002474,13.165286492355872,-0.44811561611708034,-1.1280413119315478,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2020-01-04,16.5779451150268,89.52362616220718,0.008280465702954674,12.362007018924523,-1.1379599934922449,-1.3241523712566938,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2020-01-05,12.686175344086033,79.96323820640963,0.006734414891560576,11.02612315822472,-0.7254458427626324,-1.0091378234093233,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2020-01-06,16.739832676958432,64.09353733331132,0.005595068441876372,11.611355111460988,-1.2950841521215677,0.11822121625852758,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2020-01-07,19.469783385929574,57.498875549026316,0.005770883805663607,13.661836432087208,-1.3478170183551583,0.5713988905427515,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2020-01-08,27.124522299364898,66.88606874331403,0.008002212518910586,16.07414945692297,-0.7736821899603737,1.0609581143105182,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2020-01-09,14.193678856301371,88.35906705472301,0.008007095974315469,11.980063096019652,0.24347252076260248,-2.1206323466973096,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2020-01-10,5.990337952764712,75.63989425699576,0.005063275164276576,7.700243747116008,-0.7698838916519557,-1.3295538539028495,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2020-01-11,7.79430614881798,61.24936920986489,0.004159423776015129,7.890626499367487,-0.9356712925163749,-0.5338708878949069,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2020-01-12,13.47272050414445,50.523294837898995,0.0040968064404679535,10.261609766016088,-0.9147165149889008,-0.1775050651459675,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2020-01-13,14.87895390547107,46.62736362528572,0.004721256781147986,13.248357615905006,0.004529416585342328,1.0873481720485625,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2020-01-14,20.206265714802633,67.61415690584707,0.007085446958735524,14.180912452466426,0.058970742444907215,-1.0066083302616713,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2020-01-15,22.188737892142118,69.38082436637794,0.007583606842202024,14.937291179889613,-1.1120997800843653,-1.0520990402258719,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2020-01-16,24.5695577464461,81.60502899527224,0.00919756650599072,15.335319086404779,-1.0146842965226488,-0.1581324828792776,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2020-01-17,18.074695213202496,82.90528214548694,0.008064924585624713,13.091052040464008,0.23460807065679662,-1.0063215184521088,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2020-01-18,16.266645325835015,85.89451238533613,0.007898971657406346,12.280279148476923,-1.0032418759570465,-1.320235299285951,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2020-01-19,15.121936744088218,81.884172144562,0.007403836311227147,11.95276504586028,-0.7292400939048801,-1.584242862644552,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020-01-20,12.681801188569073,71.38484658277336,0.00566738090670591,10.194324931769842,-0.9867079497151303,-0.7487092807093513,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2020-01-21,14.746729239808857,60.79015445995883,0.00567686744086565,12.296946863409412,-1.6782141652190612,0.434069139751461,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2020-01-22,22.303901878276644,69.7551355682456,0.007506332744722934,14.267553668566283,-1.240071624187502,-0.7106579422044212,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2020-01-23,14.973927606284972,66.739361059483,0.0063259579544463216,12.45819706960941,-0.43435135697022087,-2.0211961253945416,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2020-01-24,9.305269625523698,58.523640616243554,0.004926225328229624,10.98879195089924,0.3884661113774795,-0.9837800566811457,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2020-01-25,11.747750254903645,52.621950434074215,0.004759315893484529,11.822494079108312,-0.4567133737314964,-0.8742504895203218,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2020-01-26,15.617766943297347,49.8952302973045,0.004691610381654584,12.699625443598041,-0.273845150979857,-0.2772769395032574,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2020-01-27,18.76730426971153,48.63289268101225,0.00506078190121732,14.283131534794702,-0.8365581216387256,0.9712377217942584,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2020-01-28,22.040670490504702,53.96177698112263,0.006374375046072404,16.134040117579715,0.2372298184525539,0.989451763339906,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2020-01-29,17.359529009575535,68.65806879893842,0.007448004693324456,14.799019010572058,0.8235116555052854,-0.7921983039070111,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2020-01-30,11.59788424838629,69.94084545335627,0.006195126030291317,11.736225307255525,-0.3729258798705259,-1.8904428776952098,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2020-01-31,10.155551146960821,55.86473374285124,0.0044930047822888735,10.350804077307476,-0.8192396385224912,-0.6106869835276197,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2020-02-01,12.298729698076357,59.460517058541136,0.005021972002123588,11.140075540959229,-1.2884756415142704,-0.9192407897831549,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2020-02-02,9.148305646603385,56.53987274646692,0.004566457992329492,10.5647829383316,-1.3347799897856403,-1.0349807761687202,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2020-02-03,12.878306772196087,51.84660671496797,0.0043820227650386645,11.167642145273986,-1.528931834603052,-0.8038387908653358,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2020-02-04,21.017981916842697,63.86763301682802,0.006563672022772253,13.501413054297663,-1.6575451888564123,-0.29550606536898744,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2020-02-05,15.583825280409929,69.92955273885413,0.006760970603095282,12.807827857703005,-0.9076152614527067,-1.1687842358286313,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2020-02-06,15.718618244350703,57.757007675394945,0.005596301904013064,12.957009907638353,-1.0734002362089654,-0.6734469720972817,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2020-02-07,16.631557133387975,67.17924744225692,0.006321490537933997,12.517769235103827,-1.9735572056723396,-1.1119347398573645,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2020-02-08,12.468017012787893,69.00621649727914,0.006068760198553198,11.507409921665536,-1.7408592926242086,-1.9145203303320186,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2020-02-09,6.45425657864766,57.81694033136706,0.004524981534355912,9.98062495438461,-1.4872804552267294,-0.9741853044213601,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2020-02-10,7.747974837041643,51.04846714632832,0.004135977992356354,10.559603930386166,-1.2299566358065448,-0.6547515485118762,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2020-02-11,11.0106935157822,48.5610027564281,0.004465159174824431,12.205401730457023,-1.651052294984889,-0.3781722021679683,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2020-02-12,11.93579138599265,50.48401786070407,0.0050504792703042365,13.372615657438484,-0.8897337612672226,-0.5656644829803019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2020-02-13,13.192130392739202,44.34464382032046,0.004973847874452992,15.335409645897892,0.9115115379457915,-0.25988297966930246,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2020-02-14,10.985062665617669,44.56659643797033,0.005185005076697114,15.810009795056406,1.6984062729237572,-0.7428017339811196,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2020-02-15,9.584112241236927,44.79576977085841,0.00488063511846751,14.87065252330496,0.7810498679760919,-0.6870973809541641,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2020-02-16,9.45799854681808,35.008016068862865,0.00384943678678181,15.00844650753287,-0.27743098369319374,-0.6882008655295302,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2020-02-17,7.4814326823751545,30.90754051053677,0.0032522567979138867,14.837632756036225,-0.5967238767749301,-0.777046837366703,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2020-02-18,6.306422384807051,28.717759497387764,0.003042297063692668,14.822225143168044,-0.025816563592574795,-0.06048375016587142,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2020-02-19,8.311808324543096,23.759836420381667,0.0027073253869915235,15.804758536187185,-0.6171345317650536,0.7559787456201257,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2020-02-20,14.272982109776423,31.6684970068832,0.004089559413508526,17.496966803291173,-1.1496515345445872,1.2848237649261718,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2020-02-21,19.962445808600194,49.31482199353125,0.006705421121159331,18.123759827152565,0.03784141814710533,1.1111125551689696,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2020-02-22,21.123849087299888,62.26976442100189,0.007409396595850537,16.32390684805562,-1.0842337124066819,-1.0601318071039478,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2020-02-23,22.03589758314632,70.88454881702121,0.00827321819920785,16.139994567232208,-1.2959321874350844,-1.04238459026737,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2020-02-24,18.086809015628106,68.42808400833789,0.007982527591209335,15.98417023993325,-0.9753221414588659,-1.2016796024467131,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2020-02-25,16.140184488264975,59.610363705515844,0.006942104544856566,15.917404349585679,-0.14015739122571805,-1.0407202874198906,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2020-02-26,13.611150805636324,40.64434953011981,0.00455971113640872,15.397136787572606,0.12142157266512588,0.48305803777954526,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2020-02-27,15.969124036090756,44.539203392389716,0.005125137038234004,16.03383147311432,-0.8313178873684025,0.7167763543093794,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2020-02-28,18.813739860974955,48.05458931611692,0.005999584849550607,17.274106577497225,-1.3967153354977682,1.1678508128393135,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2020-02-29,21.37484033214826,44.210596246545876,0.006080909135992733,18.726438304406827,-1.4243046018165653,1.0447362594340064,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2020-03-01,22.93561441880022,57.792932242610604,0.007903888115323837,18.641584983700568,-1.5000305343223492,0.06479574788612835,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2020-03-02,21.875347693597313,70.04268539916076,0.00946163605553012,18.187413528917816,-0.3758014842154331,0.5630322815951453,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2020-03-03,19.57518173679791,53.0778367531927,0.007386561589619609,18.654843423991046,-0.20713975965900122,-0.14381253883610662,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2020-03-04,18.35796517447822,47.7572804467046,0.006621423046132164,18.576976578644963,0.04247846287934273,0.06891010003990337,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2020-03-05,16.865084634978913,58.493335672276,0.007305759147794396,17.016801514235244,-0.13959870772312466,-0.22841557196217227,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2020-03-06,18.798073082178163,56.41695815881124,0.007105260942523076,17.33211343885046,0.1572666710447201,1.1265126182130891,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2020-03-07,18.25268838109782,69.24007411420106,0.008314956933415763,16.173553301884496,0.6707468207554494,-0.5814065019301892,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2020-03-08,13.644709288321996,58.92521839252047,0.006716820572964272,15.659928845709855,-1.3172533132505657,-1.4887224251127027,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2020-03-09,14.559000015171025,44.64591331261763,0.0053888737366306685,16.627831154513963,-1.0160318484638668,-1.2475467961762572,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2020-03-10,26.233241044042053,40.62958553642877,0.006016385974788696,19.510425631770122,-1.1528139832236228,-0.5701106485546032,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2020-03-11,26.030762615042786,74.6135211790977,0.01006245749136246,18.161679349855962,0.19099699612251456,0.8898015663547373,"{""type"":""MultiPoint"",""coordinates"":[]}"
